0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,5.16744e-198
329,1.70475e-195
330,3.15522e-193
331,4.23151e-191
332,4.49623e-189
333,3.95891e-187
334,2.97267e-185
335,1.94384e-183
336,1.12506e-181
337,5.8389e-180
338,2.74615e-178
339,1.18078e-176
340,4.67587e-175
341,1.71606e-173
342,5.86842e-172
343,1.87874e-170
344,5.65401e-169
345,1.60534e-167
346,4.31426e-166
347,1.1006e-164
348,2.67222e-163
349,6.18955e-162
350,1.37064e-160
351,2.90748e-159
352,5.91865e-158
353,1.15813e-156
354,2.18165e-155
355,3.96207e-154
356,6.946e-153
357,1.17695e-151
358,1.92966e-150
359,3.06459e-149
360,4.71914e-148
361,7.05279e-147
362,1.02388e-145
363,1.44507e-144
364,1.98436e-143
365,2.65316e-142
366,3.45643e-141
367,4.39034e-140
368,5.44065e-139
369,6.58183e-138
370,7.77739e-137
371,8.98149e-136
372,1.01418e-134
373,1.12035e-133
374,1.21135e-132
375,1.28249e-131
376,1.33015e-130
377,1.35205e-129
378,1.34741e-128
379,1.31702e-127
380,1.26308e-126
381,1.18896e-125
382,1.09889e-124
383,9.9754e-124
384,8.89687e-123
385,7.79844e-122
386,6.72001e-121
387,5.69441e-120
388,4.7464e-119
389,3.89254e-118
390,3.14172e-117
391,2.49618e-116
392,1.95283e-115
393,1.50465e-114
394,1.14206e-113
395,8.54118e-113
396,6.29533e-112
397,4.57383e-111
398,3.27636e-110
399,2.3144e-109
400,1.61251e-108
401,1.10832e-107
402,7.5163e-107
403,5.03035e-106
404,3.32292e-105
405,2.16691e-104
406,1.39519e-103
407,8.87089e-103
408,5.57066e-102
409,3.45556e-101
